id,latitude,longitude,neighbourhood_cleansed
43536646,49.90915,-97.16006,Point Douglas
43554040,49.96696,-97.16509,Old Kildonan
43644307,49.92636,-97.17248,Point Douglas
43714385,49.89501,-97.1443,Daniel McIntyre
43735673,49.91832,-97.09453,Elmwood - East Kildonan
43870008,49.86804,-97.19662,River Heights - Fort Garry
44046663,49.85145,-97.21707,Charleswood - Tuxedo - Westwood
44047647,49.85784,-97.27704,Charleswood - Tuxedo - Westwood
44120967,49.77089,-97.18102,Waverley West
44138129,49.89689,-97.13652,Point Douglas
44138622,49.89438,-97.1445,Daniel McIntyre
44139423,49.89313,-97.1442,Fort Rouge - East Fort Garry
44155050,49.88219,-97.16407,Daniel McIntyre
44210333,49.8291,-97.12317,St. Vital
44394749,49.82305,-97.06408,St. Vital
44394773,49.88549,-97.11651,St. Boniface
44395116,49.82303,-97.06359,St. Vital
44475856,49.78621,-97.19821,Waverley West
44631597,49.792027,-97.196442,Waverley West
44631599,49.89349,-97.1454,Daniel McIntyre
44873269,49.79851,-97.1369,St. Norbert - Seine River
44964399,49.78196,-97.20521,Waverley West
45221639,49.89607,-97.02433,Transcona
45325730,49.91055,-97.11529,Elmwood - East Kildonan
45332502,49.84758,-97.11699,St. Vital
45369477,49.89819,-97.13745,Point Douglas
45399317,49.89449,-97.13953,Fort Rouge - East Fort Garry
45425951,49.82126,-97.06541,St. Vital
45465980,49.91328,-97.10065,Elmwood - East Kildonan
45479159,49.8642,-97.19146,River Heights - Fort Garry
45502500,49.85954,-97.15477,River Heights - Fort Garry
45688454,49.86052,-97.15468,Fort Rouge - East Fort Garry
45724869,49.87833,-97.1402,Fort Rouge - East Fort Garry
45752720,49.87785,-97.14563,Fort Rouge - East Fort Garry
45757303,49.77184,-97.17723,Waverley West
45784569,49.80986,-97.15744,Waverley West
45786198,49.89353,-97.1456,Daniel McIntyre
45814092,49.89946,-97.13455,Point Douglas
45831138,49.87549,-97.16528,River Heights - Fort Garry
45859708,49.79383,-97.19951,Waverley West
45959808,49.88788,-97.141,Fort Rouge - East Fort Garry
45991205,49.88805,-97.13889,Fort Rouge - East Fort Garry
46017091,49.89451,-97.14185,Daniel McIntyre
46105024,49.9035,-97.1169,Mynarski
46143194,49.808,-97.17578,Waverley West
46218212,49.87944,-97.14309,Fort Rouge - East Fort Garry
46246194,49.78661,-97.20819,Waverley West
46258496,49.87817,-97.14034,Fort Rouge - East Fort Garry
46313962,49.78636,-97.20903,Waverley West
46437917,49.87278,-97.17055,River Heights - Fort Garry
46449866,49.86143,-97.14454,Fort Rouge - East Fort Garry
46509260,49.82386,-97.06256,St. Vital
46586477,49.88243,-97.20107,St. James
46627748,49.8819,-97.20371,St. James
46792731,49.77427,-97.18521,Waverley West
46802635,49.87865,-97.1395,Fort Rouge - East Fort Garry
46930773,49.87985,-97.13861,Fort Rouge - East Fort Garry
47002093,49.77975,-97.20129,Waverley West
47005037,49.77651,-97.20162,Waverley West
47013683,49.77777,-97.20125,Waverley West
47056875,49.88535,-97.12238,St. Boniface
47076317,49.82474,-97.05557,St. Vital
47098041,49.87877,-97.14302,Fort Rouge - East Fort Garry
47182082,49.80178,-97.18427,Waverley West
47287832,49.92741,-97.17292,Point Douglas
47288383,49.77994,-97.20029,Waverley West
47288508,49.77928,-97.20042,Waverley West
47472222,49.89886,-97.13726,Point Douglas
47548307,49.92323,-97.05398,Elmwood - East Kildonan
47550083,49.89889,-97.13443,Point Douglas
47743418,49.77938240477611,-97.20289967063164,Waverley West
47750062,49.89899,-97.13633,Point Douglas
47819442,49.89809,-97.14109,Point Douglas
47825974,49.89078,-97.14097,Fort Rouge - East Fort Garry
47834786,49.90826,-97.05287,Transcona
47844662,49.89853,-97.15648,Daniel McIntyre
47918265,49.84554,-97.22559,Charleswood - Tuxedo - Westwood
47929365,49.84563,-97.22477,Charleswood - Tuxedo - Westwood
47929537,49.84517,-97.22554,Charleswood - Tuxedo - Westwood
47929864,49.84559,-97.22406,Charleswood - Tuxedo - Westwood
47964443,49.903675,-97.040497,Transcona
48001497,49.95432,-97.05166,North Kildonan
48013141,49.81719,-97.15183,Waverley West
48013143,49.81936,-97.15168,Waverley West
48066353,49.81795,-97.15004,Waverley West
48066361,49.81775,-97.1519,Waverley West
48124639,49.86108,-97.13113,Fort Rouge - East Fort Garry
48209459,49.84108017782669,-97.3091587360074,Charleswood - Tuxedo - Westwood
48326686,49.77752,-97.18089,Waverley West
48329188,49.891,-97.13971,Fort Rouge - East Fort Garry
48330180,49.88979,-97.14128,Fort Rouge - East Fort Garry
48330524,49.866695,-97.110565,St. Vital
48332287,49.88095,-97.21419,St. James
48442230,49.92704,-97.09858,Elmwood - East Kildonan
48482354,49.88678,-97.14422,Fort Rouge - East Fort Garry
48485422,49.82471,-97.05374,St. Vital
48485966,49.826,-97.05414,St. Boniface
48542497,49.86257,-97.20121,River Heights - Fort Garry
48561672,49.81719,-97.15328,Waverley West
48561678,49.81783,-97.15339,Waverley West
48561683,49.81797,-97.15225,Waverley West
48561685,49.81751,-97.15233,Waverley West
48605341,49.8934,-97.14563,Daniel McIntyre
48613160,49.77719,-97.18416,Waverley West
