id,first_review,last_review,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
547911591110108148,2022-01-29,2022-04-04,8,0,0,5,5,5,5,5,5,5,0
548006508986794328,2022-02-06,2022-12-18,23,19,0,5,5,5,5,4,5,5,1
548133478317253116,2022-02-13,2023-05-26,39,28,3,5,4,5,5,5,5,4,2
549995666721274018,2022-03-25,2022-12-22,3,2,0,5,5,5,5,5,4,5,0
550113945772684814,2022-03-04,2023-02-23,20,11,0,4,5,4,5,5,5,5,1
550582711238170090,2022-07-10,2022-09-13,9,9,0,5,5,5,5,5,5,5,1
550852534008266963,2022-02-13,2023-05-07,4,3,0,5,5,5,5,5,5,5,0
551611847054308403,2022-02-07,2023-06-04,114,82,9,5,5,5,5,5,5,5,7
552087780908188359,2022-02-21,2023-06-04,21,16,1,4,5,5,5,5,5,5,1
552087844563742049,2022-02-22,2023-03-23,23,13,0,5,5,5,5,5,5,5,1
